,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEGIN CH1_DATA,"LNA, H1",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, H1",,,,,,,,,BEGIN CH1_DATA,"LNA, H2",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, H2",,,,,,,,,BEGIN CH1_DATA,"LNA, V1",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, V1",,,,,,,,,BEGIN CH1_DATA,"LNA, V2",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, V2",,,,,,,,,,,,,,,,
Freq(GHz),Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA, H1 S21(dB)",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA + Post Assy, H1 S21 (dB) F1P2",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA, H2 S21(dB)",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA + Post Assy, H2 S21 (dB) F2P2",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA, V1 S21(dB)",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA + Post Assy, V1 S21 (dB) F1P1",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA, V2 S21(dB)",S21(DEG),S22(dB),S22(DEG),,Freq(Hz),S11(dB),S11(DEG),S12(dB),S12(DEG),"LNA + Post Assy, V2 S21 (dB) F2P1",S21(DEG),S22(dB),S22(DEG),,EXPECTED PERFORMANCE W/installation of New Amplifiers,,New LNA S/N 048Z,,LNAs + Post Assy (dB) solid data lines,,,LNAs (dB) dash data lines
16,16000000000,-5.3340821,45.41087,-67.305573,-161.46931,10.940147,-56.772442,-17.308279,-116.31665,,16000000000,-5.031178,47.93541,-56.125538,-1.1735049,46.657696,48.226269,-19.41917,-159.80457,,16000000000,-3.1378071,60.487309,-61.926064,-60.801838,10.214447,164.59499,-16.167149,-47.147758,,16000000000,-3.19911,62.103756,-64.80407,42.994465,44.275169,107.75708,-27.894442,-179.07909,,16000000000,-2.1808836,21.013859,-61.929283,-33.29261,10.039923,140.37914,-13.566664,149.55852,,16000000000,-2.0997102,20.778566,-57.799015,-177.44972,44.024788,116.89593,-17.54282,-143.57843,,16000000000,-1.8004388,39.915932,-61.14093,-72.077873,8.9247293,150.08452,-14.93674,172.50969,,16000000000,-1.8177404,41.06847,-76.058426,-58.962708,46.960751,-143.72392,-20.495575,-155.91655,,65,,36.5,,,,,
16.008125,16008125000,-5.2506733,31.775513,-54.881874,86.8843,10.961108,-80.068848,-16.918245,-126.95583,,16008125000,-5.0198612,35.459076,-54.312099,77.281212,46.673298,19.007135,-19.092117,-158.51071,,16008125000,-3.2185061,47.039398,-60.641518,170.05476,10.296432,144.44493,-15.685236,-56.169823,,16008125000,-3.2908039,50.567207,-51.59277,75.462288,44.336784,81.727356,-33.162052,-159.94139,,16008125000,-2.5558631,2.127486,-53.104446,61.592804,10.775526,120.08235,-13.865531,138.66165,,16008125000,-2.6041961,3.3586676,-61.126774,23.433949,44.767178,91.692146,-17.660437,-140.94266,,16008125000,-2.1226335,23.086988,-54.834629,120.41032,9.7323074,130.75735,-15.122865,162.41898,,16008125000,-1.9720542,22.448484,-55.465439,141.44839,47.731827,-168.2701,-19.776934,-160.70422,,65.0282,,,,,,,
16.01625,16016250000,-5.1792016,15.539053,-68.87674,26.158829,10.923129,-102.7943,-16.830629,-136.61887,,16016250000,-5.1197462,16.394932,-64.224411,35.980267,46.582588,-9.313839,-19.075832,-167.34431,,16016250000,-3.3095198,31.809626,-65.069405,-39.516987,10.312162,124.69382,-15.382957,-65.658096,,16016250000,-3.3627331,32.7192,-64.606918,-116.60703,44.385979,55.900562,-28.977001,-176.42381,,16016250000,-2.9312482,-18.271515,-56.516876,59.584911,11.403738,99.443336,-14.274439,127.50919,,16016250000,-3.0130851,-17.056751,-58.251881,100.4939,45.383343,66.248192,-17.890718,-138.877,,16016250000,-2.4683328,4.3177538,-59.124844,46.430347,10.439956,111.14591,-15.442285,150.93568,,16016250000,-2.5569291,5.3349066,-63.529823,70.663002,48.432064,166.75032,-20.883879,-150.33163,,65.0564,,,,,,,
16.024375,16024375000,-5.0324545,-2.5269797,-60.200172,-112.25054,10.864422,-125.71988,-16.9701,-146.55148,,16024375000,-5.0673509,-0.96298015,-63.852715,-74.856827,46.50642,-38.044933,-20.142738,-166.32195,,16024375000,-3.4023509,15.147133,-53.60545,108.38583,10.343493,104.43202,-15.117597,-73.597137,,16024375000,-3.4430857,15.829626,-61.624271,14.587918,44.430321,29.835585,-28.275337,170.27734,,16024375000,-3.2612829,-39.641224,-63.373699,75.230209,11.955197,77.878387,-14.533469,114.39555,,16024375000,-3.2935731,-38.783066,-64.03727,168.47401,45.918804,39.933167,-17.8186,-146.26067,,16024375000,-2.8613122,-15.656358,-51.825268,-9.4613848,11.13608,90.178017,-15.738965,140.33186,,16024375000,-2.7874179,-13.830168,-55.076313,41.695278,49.130119,140.5659,-18.750174,-150.33322,,65.0846,,,,,,,
16.0325,16032500000,-4.8857579,-23.083086,-56.092094,-39.432468,10.831172,-148.55693,-17.214016,-156.07407,,16032500000,-4.8161483,-21.588482,-59.499382,-75.779114,46.446339,-66.562454,-18.339088,-163.97139,,16032500000,-3.6429827,-3.2364733,-53.546951,-55.720066,10.440553,84.698296,-14.774156,-82.413834,,16032500000,-3.7028656,-1.8702002,-61.6903,18.574051,44.552074,4.0398717,-33.372364,-174.6488,,16032500000,-3.607851,-61.897942,-60.002487,32.77433,12.422527,56.229671,-14.954916,101.40509,,16032500000,-3.4618249,-61.357624,-55.096111,161.49936,46.38488,13.401976,-16.715019,-150.46342,,16032500000,-3.2844088,-37.331635,-65.129745,-9.7086124,11.773975,68.858337,-16.369581,127.99934,,16032500000,-3.4201622,-37.435371,-56.481556,-37.555916,49.786701,113.76903,-22.387619,-167.57324,,65.1128,,,,,,,
16.040625,16040625000,-4.5880189,-44.657578,-51.556107,131.88179,10.69575,-171.19276,-17.692564,-166.82414,,16040625000,-4.8094606,-41.690453,-55.262444,103.77029,46.252087,-94.704369,-21.597815,-162.56908,,16040625000,-3.656456,-22.491026,-58.356098,144.81589,10.555875,64.299904,-14.728626,-90.578468,,16040625000,-3.693135,-22.493002,-56.275997,177.35759,44.690693,-22.344019,-27.836983,154.67389,,16040625000,-3.8086505,-83.290344,-56.464622,-153.12675,12.768927,34.855934,-15.253399,87.486534,,16040625000,-3.8634093,-83.941757,-59.51503,113.18649,46.709587,-12.774729,-18.926178,-153.2419,,16040625000,-3.6633863,-59.207317,-66.205528,-71.685989,12.250435,47.32925,-16.542755,114.94585,,16040625000,-3.6258156,-58.253181,-76.296181,133.5737,50.299831,86.886345,-21.226948,-155.46605,,65.141,,,,,,,
16.04875,16048750000,-4.227066,-66.402107,-51.450615,26.860765,10.472065,166.30678,-18.026157,-179.93234,,16048750000,-3.9578912,-64.68029,-54.8125,31.982361,45.989986,-122.8506,-18.839111,-175.55743,,16048750000,-3.5386515,-43.26643,-58.038353,15.507287,10.550134,43.393192,-14.776496,-99.024879,,16048750000,-3.4389777,-41.357254,-56.101173,35.271019,44.734627,-49.400211,-28.843994,-166.40881,,16048750000,-3.9309382,-103.21459,-53.178066,55.691742,13.054564,13.576275,-15.391614,74.007698,,16048750000,-3.7848032,-101.42838,-55.855965,-40.954002,46.960907,-38.948406,-16.880018,-153.09189,,16048750000,-3.9972434,-80.611557,-55.466351,-26.334715,12.64193,25.607849,-16.79826,102.34254,,16048750000,-4.8014736,-79.936562,-51.69751,12.318271,50.734314,59.638069,-24.580057,-138.82802,,65.1692,,,,,,,
16.056875,16056875000,-3.834949,-86.679321,-59.410198,95.802376,10.172853,144.38362,-18.573439,169.47311,,16056875000,-3.8430862,-84.581673,-61.070293,158.77504,45.629684,-149.89954,-19.934349,-178.90302,,16056875000,-3.4017527,-64.181694,-53.081474,132.09792,10.424838,22.799028,-14.623644,-107.44025,,16056875000,-3.3519206,-62.688274,-60.932007,66.619164,44.634377,-75.957886,-29.184296,169.80368,,16056875000,-4.0405383,-121.06071,-66.593025,-61.030403,13.32031,-7.2324915,-15.657617,60.110458,,16056875000,-4.1100821,-119.10783,-56.923752,54.088531,47.185501,-64.454056,-17.354313,-158.34697,,16056875000,-4.2254992,-99.336861,-59.029385,-86.88015,12.92178,4.8632669,-17.144354,88.29924,,16056875000,-4.3405833,-100.13176,-60.491955,125.91814,51.026569,33.269516,-21.982321,-152.12549,,65.1974,,,,,,,
16.065,16065000000,-3.4219913,-105.79655,-59.719322,134.80304,9.8700876,123.11549,-19.006264,157.21719,,16065000000,-3.3501785,-104.95884,-58.095249,84.839226,45.340801,-176.71144,-20.964102,177.85654,,16065000000,-3.1976633,-84.43586,-54.325642,100.36365,10.270494,2.771718,-14.604251,-117.17295,,16065000000,-3.0975323,-83.018997,-55.927341,96.781151,44.53442,-102.21563,-29.769537,162.79948,,16065000000,-4.1239238,-137.47546,-57.896587,-13.257821,13.604713,-27.998554,-15.800286,46.469193,,16065000000,-3.9828773,-135.99976,-54.302589,51.736755,47.455418,-89.941055,-19.121647,-166.94315,,16065000000,-4.3147607,-117.72133,-56.553425,-75.160255,13.330401,-16.074707,-17.552172,75.142159,,16065000000,-4.4874721,-112.07214,-49.258965,38.344193,51.456474,6.8055663,-17.450621,-171.1555,,65.2256,,,,,,,
